Date,Open,High,Low,Close,Adj Close,Volume
17-07-2019,972.549988,998.950012,972,990.900024,960.323059,11718
18-07-2019,997.549988,1000.849976,972.900024,976.349976,946.221985,30988
19-07-2019,990,1018,979.049988,984.950012,954.556641,79440
22-07-2019,972,993.25,935.950012,957.5,927.953674,63131
23-07-2019,955,972,950.75,968,948.030823,97662
24-07-2019,973.099976,986.950012,959.549988,971.950012,951.899292,21857
25-07-2019,980,1003.450012,969.049988,976.200012,956.061584,31792
26-07-2019,970.5,988.799988,960.049988,982.25,961.986816,8930
29-07-2019,978.450012,988.5,965.200012,979.900024,959.685364,30485
30-07-2019,981,983.700012,950.099976,953.549988,933.878906,11697
31-07-2019,953.549988,972,950,966,946.072021,34686
01-08-2019,980,980,950.549988,955.400024,935.690674,13790
02-08-2019,947.599976,969,946.099976,962.950012,943.084961,56250
05-08-2019,969,986,921.299988,955.150024,935.445862,112629
06-08-2019,947.349976,971,947.349976,961.099976,941.273071,54411
07-08-2019,974.200012,980,967,972.349976,952.291016,47742
08-08-2019,972.599976,984.799988,966.150024,971.950012,951.899292,117382
09-08-2019,985,993,971,990.25,969.821777,56110
13-08-2019,990,1005,962.099976,970,949.989563,158786
14-08-2019,970,993.950012,970,988.900024,968.499634,7786
16-08-2019,988.900024,1019,980,1013.799988,992.885925,33346
19-08-2019,1017,1042.849976,1017,1025.849976,1004.687317,54787
20-08-2019,1020,1038.900024,1020,1027.75,1006.548218,36108
21-08-2019,1022,1027.800049,1003,1005,984.267517,123402
22-08-2019,1001,1009.950012,987.849976,994.400024,973.886108,21993
23-08-2019,994.400024,1004.549988,973.599976,990.700012,970.262512,12632
26-08-2019,1014.799988,1028.400024,984.200012,1025.599976,1004.442505,11616
27-08-2019,1030,1075,1026,1067.75,1045.723022,44257
28-08-2019,1075,1085.050049,1055.199951,1063.550049,1041.609741,17371
29-08-2019,1055,1068.900024,1034.900024,1054.400024,1032.648438,15106
30-08-2019,1052.699951,1059.550049,1020,1029.199951,1007.968262,20049
03-09-2019,1029.199951,1047,972.200012,988.849976,968.450623,54146
04-09-2019,983.849976,1008,979.75,998.5,977.901611,15668
05-09-2019,993,1005.900024,988.049988,998.400024,977.80365,8738
06-09-2019,998.400024,999,978.200012,981.25,961.007446,10965
09-09-2019,986.900024,1000,979.450012,998.650024,978.048462,49398
11-09-2019,1009,1030.150024,995,1015.150024,994.20813,25359
12-09-2019,1026,1026,1014.25,1020.299988,999.251831,7615
13-09-2019,1016.650024,1026.099976,1015.25,1022.150024,1001.063782,8529
16-09-2019,1002.650024,1038,1002.650024,1035.349976,1013.991394,14960
17-09-2019,1040.099976,1055.5,1018.349976,1019.950012,998.909058,54440
18-09-2019,1020,1034.449951,1002,1020.799988,999.741455,6945
19-09-2019,1025.599976,1030,1017.049988,1019.950012,998.909058,36892
20-09-2019,1018.599976,1099,982.849976,1086.150024,1063.74353,87536
23-09-2019,1099.599976,1130.75,1092.099976,1116.900024,1093.859131,327413
24-09-2019,1120.050049,1140,1116.900024,1138.800049,1115.307373,76596
25-09-2019,1148,1148,1055.099976,1070.199951,1048.122437,201613
26-09-2019,1074,1089,1025,1041.25,1019.769775,56698
27-09-2019,1049.599976,1077,1041.449951,1067,1044.988403,15162
30-09-2019,1070,1070,1016.599976,1050.349976,1028.681885,38842
01-10-2019,1069,1069,1027,1039.199951,1017.761963,27919
03-10-2019,1039.199951,1043,1015.200012,1027.199951,1006.00946,10784
04-10-2019,1032,1040,1005.150024,1027.25,1006.058533,12910
07-10-2019,1027.25,1048,1016.049988,1032.599976,1011.298096,8703
09-10-2019,1036.599976,1054,1028.099976,1048.75,1027.114868,6891
10-10-2019,1046.699951,1046.699951,1028,1040.400024,1018.937378,16115
11-10-2019,1042.5,1056.949951,1030,1040.199951,1018.741211,107031
14-10-2019,1029.199951,1055.900024,1029.199951,1035.449951,1014.089233,61935
15-10-2019,1038.550049,1064.650024,1038.550049,1061.050049,1039.161255,32648
16-10-2019,1065,1078,1044.400024,1051.400024,1029.710327,58351
17-10-2019,1063.300049,1073.199951,1051.800049,1067.25,1045.233276,95569
18-10-2019,1075.900024,1143.75,1059.800049,1129.900024,1106.590942,81643
22-10-2019,1149,1149,1103.800049,1121.199951,1098.070313,64212
23-10-2019,1135,1135,1100,1103,1080.245972,22578
24-10-2019,1116.75,1120,1108.050049,1115.5,1092.488037,9626
25-10-2019,1135,1136,1110.050049,1115.150024,1092.145264,22041
27-10-2019,1145,1154,1120,1144.25,1120.644897,14156
29-10-2019,1155,1172,1120,1127.650024,1104.387207,20146
30-10-2019,1127.050049,1138.699951,1105.099976,1112.400024,1089.451904,54284
31-10-2019,1112.25,1129.900024,1106,1117.050049,1094.005981,77278
01-11-2019,1129.900024,1149.900024,1104.050049,1112.75,1089.794678,16714
04-11-2019,1145,1150,1112.699951,1131.800049,1108.45166,29644
05-11-2019,1130,1149.5,1124.199951,1130.099976,1106.786743,60182
06-11-2019,1135.400024,1148.800049,1123.75,1139.550049,1116.04187,19694
07-11-2019,1150,1185.300049,1145,1163.050049,1139.057007,36751
08-11-2019,1179.949951,1198,1165.050049,1182.75,1158.350586,87907
11-11-2019,1170,1174.900024,1125.150024,1160.449951,1136.510498,117034
13-11-2019,1160.449951,1186,1150,1182.099976,1157.713989,72797
14-11-2019,1187,1187,1157.199951,1160.099976,1136.167847,51106
